HaloId,GrpId,Timestep,NowGroup,HaloMass,TotalParticles,TotalDarkParticles,MassRatio,Prog
39869,39,10,14,10638614709,14097,8283,-1,0
16867,22,11,14,15492855040,23176,11599,4.144587075,1
47031,98,11,14,3738093750,5577,2842,4.144587075,0
4582,102,11,14,3684741800,5085,2839,-1,0
56140,33,12,14,10772911859,15938,8116,-1,1
17620,79,12,14,4675119611,6858,3540,-1,0
40821,40,13,14,5194672328,7374,3970,-1,1
54275,27,14,14,4027953052,5354,3143,-1,1
67490,15,1,15,83359778145,159062,60505,-1,1
56239,15,2,15,83673616040,158383,60821,-1,1
57729,14,3,15,83850281038,152939,61429,-1,1
35616,13,4,15,79121082446,142081,58051,-1,1
334,12,5,15,74328418055,130773,54317,-1,1
77959,18,6,15,43387811118,80631,31010,-1,1
65221,21,7,15,32710289477,52763,24183,1.318415905,0
61210,25,7,15,24810296470,45526,17716,1.318415905,1
69385,21,8,15,29347382602,44528,21989,-1,0
58304,26,8,15,23216198537,41318,16684,-1,1
50050,21,9,15,27232470843,41314,20386,-1,0
37966,25,9,15,21696482361,37223,15795,-1,1
23951,24,10,15,19226926284,32286,13999,-1,1
67203,32,10,15,11374501019,16918,8514,-1,0
53092,21,11,15,17329484048,28098,12726,-1,1
37622,66,11,15,5955374330,8583,4539,-1,0
57611,22,12,15,16236040085,25368,12086,-1,1
26565,75,12,15,4582864969,6458,3531,-1,0
42175,14,13,15,14184322875,19400,10989,-1,1
23264,16,1,16,60504292833,138698,43537,-1,1
60274,16,2,16,59664502329,136521,42915,-1,1
36168,16,3,16,53126556276,118972,37904,-1,1
71252,16,4,16,48744356736,106567,34775,-1,1
41784,18,5,16,45518531563,97461,32416,-1,1
496,16,6,16,43099657216,89998,30639,-1,1
81208,14,7,16,39420857070,74981,28211,-1,1
72818,14,8,16,36394877979,66707,26149,-1,1
12201,12,9,16,34532656457,60376,25136,-1,1
57748,11,10,16,34039587581,56986,24966,-1,1
79641,10,11,16,31143867234,50443,23042,-1,1
64867,11,12,16,28349197303,44098,21172,-1,1
22749,19,13,16,9629585297,13493,7361,2.073400645,1
37154,45,13,16,4644343735,6654,3553,2.073400645,0
14330,17,1,17,62444838460,102484,46665,-1,1
4233,17,2,17,61409393267,100573,45904,-1,1
32768,19,3,17,56266838301,89755,42203,-1,1
10527,26,4,17,31116121437,52892,22871,4.480040261,1
2489,88,4,17,6945500402,11380,5154,4.480040261,0
79113,34,5,17,23526575170,41517,17091,-1,1
81044,63,5,17,13055649959,18053,10109,-1,0
26373,32,6,17,22481638128,38885,16433,-1,1
26387,55,6,17,13908361133,18620,10855,-1,0
69547,31,7,17,21457957607,34819,15959,-1,1
37165,69,7,17,10012003794,13436,7784,-1,0
28737,35,8,17,20937407272,32730,15658,-1,1
30275,79,8,17,8211632909,10837,6427,-1,0
13040,32,9,17,18204596636,27937,13657,-1,1
65231,101,9,17,4766580737,6175,3766,-1,0
22737,27,10,17,18010591509,26240,13722,-1,1
70991,138,10,17,3438376598,4455,2725,-1,0
63673,27,11,17,14751173480,21056,11298,-1,1
31016,34,12,17,11068280028,15813,8475,-1,1
2714,30,13,17,6203423550,8653,4789,-1,1
1356,20,14,17,5439976800,7001,4290,-1,1
62197,18,1,18,51907479989,100431,37018,-1,1
45220,18,2,18,52007094679,100009,37134,-1,1
18737,18,3,18,50892318496,94297,36701,-1,1
69480,19,4,18,49287722092,88835,35663,-1,1
51095,19,5,18,47683311453,82435,35001,-1,1
27665,19,1,19,40600036887,82892,28900,-1,1
67704,19,2,19,40448167652,82226,28805,-1,1
23514,20,3,19,40021953207,78928,28633,-1,1
9806,20,4,19,39425093371,75083,28444,-1,1
70750,20,5,19,37895502460,70801,27303,-1,1
4147,19,6,19,35849654757,65605,25896,-1,1
22272,16,7,19,34745762700,58867,25551,-1,1
73232,18,8,19,35240377864,56302,26276,-1,1
27571,17,9,19,32054388758,49241,24039,-1,1
1108,18,10,19,23386950232,36170,17456,-1,1
56715,23,11,19,17205773498,26939,12773,-1,1
82167,23,12,19,14865477466,22871,11094,-1,1
40098,17,13,19,10523296046,14634,8108,-1,1
61145,22,14,19,4083836539,5587,3144,-1,1
17598,20,1,20,44807531124,81824,33177,-1,1
5834,20,2,20,44834821518,81367,33246,-1,1
15402,21,3,20,42969753136,76342,31937,-1,1
76869,21,4,20,41329240224,72106,30753,-1,1
25640,21,5,20,38191750261,66374,28359,-1,1
40091,20,6,20,35964043649,62170,26626,-1,1
23681,22,7,20,30218210193,51188,22415,-1,1
9126,22,8,20,27103737059,45169,20157,-1,1
31566,23,9,20,25407910538,40735,19089,-1,1
38422,19,10,20,25035612323,38255,18979,-1,1
31901,14,11,20,22915183256,33777,17491,-1,1
45888,16,12,20,21053708500,30327,16182,-1,1
233,33,13,20,5242066889,7585,3997,1.135462051,1
50122,46,13,20,4616681713,6580,3535,1.135462051,0
73218,21,1,21,48269154791,77232,36308,-1,1
37488,21,2,21,47513287943,75835,35736,-1,1
63905,25,3,21,42960853639,67288,32235,-1,1
53584,27,4,21,33359166008,49326,25259,8.228950312,1
33049,113,4,21,4053878653,7993,2874,8.228950312,0
75473,31,5,21,24954792331,36547,18929,-1,1
28929,78,5,21,7768831773,13148,5670,-1,0
23595,35,6,21,21579520269,31378,16385,-1,1
76245,72,6,21,9730014339,15271,7261,-1,0
45043,44,7,21,18392679807,25323,14193,-1,1
66241,68,7,21,10061913307,14651,7700,-1,0
2283,67,8,21,9886759479,13813,7673,-1,0
17442,64,9,21,9222491894,12746,7169,-1,0
64384,63,10,21,8303141038,11353,6462,-1,0
8124,60,11,21,7202998939,9678,5639,-1,0
35146,58,12,21,7190484799,9259,5703,-1,0
38992,47,13,21,5561737205,6579,4520,-1,0
50737,22,1,22,37730526287,70003,26895,-1,1
78274,22,2,22,37361851437,69216,26645,-1,1
38463,22,3,22,36208365825,65588,25990,-1,1
16688,25,4,22,33144793998,59936,23730,-1,1
56428,25,5,22,27700137343,50817,19728,-1,1
79477,24,6,22,24198344839,45001,17122,-1,1
63516,28,7,22,21421797786,38268,15242,-1,1
43210,28,8,22,20957906314,35425,15173,-1,1
41325,28,9,22,19555228384,31419,14370,-1,1
59237,26,10,22,17597577222,27100,13096,-1,1
48067,26,11,22,15765541493,23287,11897,-1,1
45439,27,12,22,12053252943,17632,9125,-1,1
26131,59,13,22,3882316699,5439,2987,-1,1
50077,23,1,23,36574325156,73686,26771,-1,1
6122,23,2,23,36324050802,72854,26601,-1,1
20390,24,3,23,34451408778,68044,25199,-1,1
9539,23,4,23,33006185429,63680,24159,-1,1
51289,24,5,23,31402399432,59456,22994,-1,1
45895,23,6,23,29886129198,55654,21845,-1,1
17930,23,7,23,28005468698,49138,20612,-1,1
54765,23,8,23,27011920439,45574,20048,-1,1
35320,20,9,23,26926622598,42827,20210,-1,1
75623,17,10,23,26244828287,40005,19924,-1,1
69447,13,11,23,24798674155,36377,18991,-1,1
7635,15,12,23,21336028887,31031,16278,-1,1
28123,22,13,23,8510892973,12380,6464,-1,1
13047,18,14,23,5370856466,7467,4145,-1,1
37230,13,15,23,4934639098,6302,3911,-1,1
71237,24,1,24,36281537394,70981,26225,-1,1
50020,24,2,24,36123976171,70584,26086,-1,1
27462,23,3,24,35083050357,67496,25338,-1,1
16958,22,4,24,34128591942,64825,24576,-1,1
39005,23,5,24,33101000451,61781,23877,-1,1
77896,21,6,24,32231920172,59321,23244,-1,1
20027,19,7,24,30440426045,53870,22013,-1,1
47470,20,8,24,28397988688,48858,20610,-1,1
39846,18,9,24,24974149097,41490,18281,-1,1
79165,20,10,24,23005171778,37412,16871,-1,1
14313,15,11,24,20667807415,32864,15250,-1,1
70720,17,12,24,18242035492,28371,13470,-1,1
57931,32,13,24,6129749767,8405,4716,1.413965824,1
51121,43,13,24,4335147048,6944,3147,1.413965824,0
41626,26,14,24,4061779162,5361,3170,-1,0
48989,25,1,25,39485469989,61851,29792,-1,1
81292,25,2,25,39819565025,61916,30095,-1,1
33060,26,3,25,38960594826,58729,29667,-1,1
