NowGroup,NowHalo,CurrentTime,CurrentGrp,CurrentHalo,NextGrp,NextHalo,SharedParticleCount,SharedDarkParticleCount
13,19576,13,11,29501,11,44005,14824,7914
13,19576,14,11,44005,10,21973,8388,4941
13,19576,15,10,21973,12,45070,4018,2589
49,19868,1,49,19868,49,9906,26787,14069
49,19868,2,49,9906,54,65928,24560,13009
49,19868,3,54,65928,55,14174,21436,11762
49,19868,4,55,14174,55,4103,19725,11112
49,19868,5,55,4103,51,35739,19193,10834
49,19868,6,51,35739,108,63715,7079,3605
49,19868,7,108,63715,63,59564,6902,3609
49,19868,8,63,59564,66,31822,11576,6493
49,19868,9,66,31822,60,26493,10764,6279
49,19868,10,60,26493,59,66693,9127,5568
49,19868,11,59,66693,65,76045,7502,4706
149,19883,1,149,19883,148,64948,5295,3982
149,19883,2,148,64948,151,43583,4918,3691
149,19883,3,151,43583,157,22587,4876,3649
149,19883,4,157,22587,153,51464,4989,3751
149,19883,5,153,51464,156,81757,4922,3647
149,19883,6,156,81757,161,39725,4087,3004
149,19883,7,161,39725,167,45379,3939,2927
39,22067,1,39,22067,38,58771,37247,16395
39,22067,2,38,58771,41,18899,34010,15302
39,22067,3,41,18899,42,37744,32113,14787
39,22067,4,42,37744,43,70602,30097,14138
39,22067,5,43,70602,41,66988,28287,13418
39,22067,6,41,66988,45,32033,23513,11345
39,22067,7,45,32033,42,34773,21547,10921
39,22067,8,42,34773,42,71798,18261,10039
39,22067,9,42,71798,41,594,16461,9439
39,22067,10,41,594,38,22147,14412,8520
39,22067,11,38,22147,40,72509,12268,7404
39,22067,12,40,72509,51,38372,4978,3211
79,22487,1,79,22487,79,63419,13184,8438
79,22487,2,79,63419,81,4232,11876,7652
79,22487,3,81,4232,84,26488,11353,7352
79,22487,4,84,26488,90,7954,10377,6713
79,22487,5,90,7954,98,75255,9450,6043
79,22487,6,98,75255,94,69477,7376,4859
79,22487,7,94,69477,88,51475,7815,4798
79,22487,8,88,51475,77,1045,7693,4821
79,22487,9,77,1045,78,10944,7813,4849
79,22487,10,78,10944,74,22489,7234,4512
79,22487,11,74,22489,85,57125,5886,3671
16,23264,1,16,23264,16,60274,135666,42602
16,23264,2,16,60274,16,36168,116571,37277
16,23264,3,16,36168,16,71252,104756,33994
16,23264,4,16,71252,18,41784,94935,31450
16,23264,5,18,41784,16,496,87453,29671
