nowGroup,grpID,timeStep,mass,totalParticles,HI,prog,massRatio
31077,18476,6,4.11E+07,128,1.021693206,0,-1
31077,19204,6,6358595.657,21,0.004721883,0,-1
31077,30487,3,339072.9383,1,0,0,-1
31077,30211,3,2034437.63,6,0,0,-1
31077,33783,3,2.41E+08,732,4.381522992,0,-1
31077,14915,7,3729802.321,11,0,0,-1
31077,42158,5,6442385.827,19,0,0,-1
31077,30187,3,1017218.815,3,0,0,-1
31077,42108,5,8137750.519,24,0,0,-1
31077,15096,7,2.37E+07,70,0,0,-1
31077,41942,5,7120531.704,21,0,0,-1
31077,32740,4,4324158.028,15,0.006021583,0,-1
31077,30202,3,678145.8766,2,0,0,-1
31077,29523,2,6442385.827,19,0,0,-1
31077,15166,6,339072.9383,1,0,0,-1
31077,14954,7,2.11E+08,645,0,0,-1
31077,17496,7,3.80E+07,118,0.832913034,0,-1
31077,15206,6,5764239.951,17,0,0,-1
31077,15388,6,5086094.074,15,0,0,-1
31077,15170,6,3390729.383,10,0,0,-1
31077,29978,3,4068875.259,12,0,0,-1
31077,29786,4,1017218.815,3,0,0,-1
31077,15398,6,1017218.815,3,0,0,-1
31077,26536,7,2.37E+07,72,0.005068029,0,-1
31077,15045,7,1017218.815,3,0,0,-1
31077,42039,5,2712583.506,8,0,0,-1
31077,22218,6,3051656.444,9,0,0,-1
31077,23398,7,339072.9383,1,0,0,-1
31077,17494,7,1017218.815,3,0,0,-1
31077,15146,7,8815896.395,26,0,0,-1
31077,15138,7,1695364.691,5,0,0,-1
31077,29288,2,1356291.753,4,0,0,-1
31077,18565,6,339072.9383,1,0,0,-1
31077,20640,6,339072.9383,1,0,0,-1
31077,29550,2,1.32E+07,39,0,0,-1
31077,34192,4,551156.5401,2,0.057886675,0,-1
31077,42265,5,4747021.136,14,0,0,-1
31077,15110,6,1356291.753,4,0,0,-1
31077,30204,3,678145.8766,2,0,0,-1
31077,29989,4,2712583.506,8,0,0,-1
31077,15018,7,1.39E+07,42,0,0,-1
31077,29277,2,678145.8766,2,0,0,-1
31077,30244,3,1017218.815,3,0,0,-1
31077,47088,5,4153969.511,13,4.62E-04,0,-1
31077,15223,6,339072.9383,1,0,0,-1
31077,15154,7,7459604.642,22,0,0,-1
31077,42183,5,1695364.691,5,0,0,-1
31077,42045,5,2712583.506,8,0,0,-1
31077,29780,4,1017218.815,3,0,0,-1
31077,42329,5,1017218.815,3,0,0,-1
31077,29396,2,339072.9383,1,0,0,-1
31077,30250,3,4.81E+07,142,0,0,-1
31077,27009,7,4.63E+07,140,0.014174337,0,-1
31077,30434,3,5469232.713,17,0,0,-1
31077,14886,6,1356291.753,4,0,0,-1
31077,30051,4,2712583.506,8,0,0,-1
31077,21495,7,4747021.136,14,0,0,-1
31077,30391,3,1017218.815,3,0,0,-1
31077,41918,5,6103312.889,18,0,0,-1
31077,15143,6,3051656.444,9,0,0,-1
31077,29353,2,4.11E+07,125,0.099862076,0,-1
31077,29806,4,2373510.568,7,0,0,-1
31077,15052,7,2034437.63,6,0,0,-1
31077,30251,3,4068875.259,12,0,0,-1
31077,15074,7,1.42E+07,42,0,0,-1
31077,29984,4,6.14E+07,186,1.845105931,0,-1
31077,30163,3,1.42E+07,42,0,0,-1
31077,21597,7,3051656.444,9,0,0,-1
31077,29375,2,678145.8766,2,0,0,-1
31077,47958,5,1.35E+07,47,0.412526978,0,-1
31077,29499,2,678145.8766,2,0,0,-1
31077,29388,2,339072.9383,1,0,0,-1
31077,30066,4,8137750.519,24,0,0,-1
31077,40930,4,2373510.568,7,0,0,-1
31077,15384,6,5425167.012,16,0,0,-1
31077,14893,6,6.57E+07,198,2.265560076,0,-1
31077,35771,4,2034437.63,6,0,0,-1
31077,30450,3,3051656.444,9,0,0,-1
31077,29274,2,2712583.506,8,0,0,-1
31077,30269,3,2712583.506,8,0,0,-1
31077,15051,6,1.32E+07,39,0,0,-1
31077,30010,4,3390729.383,10,0,0,-1
31077,15117,7,9833115.21,29,0,0,-1
31077,15303,6,1.56E+07,50,2.977007717,0,-1
31077,29217,2,678145.8766,2,0,0,-1
31077,14899,7,678145.8766,2,0,0,-1
31077,29810,4,1.80E+07,53,0,0,-1
31077,30389,3,678145.8766,2,0,0,-1
31077,30397,3,1017218.815,3,0,0,-1
31077,15189,7,3.25E+08,1009,23.60505804,0,-1
31077,14866,7,5086094.074,15,0,0,-1
31077,14895,6,2034437.63,6,0,0,-1
31077,18475,6,4068875.259,12,0,0,-1
31077,30005,4,3051656.444,9,0,0,-1
31077,42159,5,5086094.074,15,0,0,-1
31077,29211,2,1.12E+07,33,0,0,-1
31077,29883,4,2712583.506,8,0,0,-1
31077,19918,7,4153969.511,13,7.11E-04,0,-1
31077,15205,7,9494042.272,28,0,0,-1
31077,15371,6,5.83E+08,1817,46.39275368,0,-1
31077,47138,5,551156.5401,2,0.070328973,0,-1
31077,42128,5,2373510.568,7,0,0,-1
31077,15097,7,5.50E+10,185286,9879.188049,0,-1
31077,24497,7,1356291.753,4,0,0,-1
31077,42207,5,678145.8766,2,0,0,-1
31077,15136,7,3390729.383,10,0,0,-1
31077,15286,6,2712583.506,8,0,0,-1
31077,14914,7,1.56E+07,47,0,0,-1
31077,42153,5,4.69E+07,140,0,0,-1
31077,15209,6,1017218.815,3,0,0,-1
31077,42237,5,9833115.21,29,0,0,-1
31077,30470,3,678145.8766,2,0,0,-1
31077,29437,2,1356291.753,4,0,0,-1
31077,15041,6,2.68E+07,79,0,0,-1
31077,24992,6,678145.8766,2,0,0,-1
31077,22454,7,2712583.506,8,0,0,-1
31077,42233,5,1695364.691,5,0,0,-1
31077,29937,4,2712583.506,8,0,0,-1
31077,15156,7,339072.9383,1,0,0,-1
31077,30319,3,4068875.259,12,0,0,-1
31077,14833,7,1017218.815,3,0,0,-1
31077,14905,7,4.11E+07,124,0.347069658,0,-1
31077,29398,2,3729802.321,11,0,0,-1
31077,29795,4,678145.8766,2,0,0,-1
31077,36133,3,1695364.691,5,0,0,-1
31077,15203,7,6.28E+07,186,0,0,-1
31077,14995,7,2.28E+07,72,2.049702592,0,-1
31077,20965,7,1017218.815,3,0,0,-1
31077,14989,7,1017218.815,3,0,0,-1
31077,15387,6,7459604.642,22,0,0,-1
31077,29909,4,2373510.568,7,0,0,-1
31077,33167,4,1017218.815,3,0,0,-1
31077,15088,7,3.50E+07,104,0,0,-1
31077,29753,4,3729802.321,11,0,0,-1
31077,30220,3,1.02E+07,30,0,0,-1
31077,42206,5,1695364.691,5,0,0,-1
31077,15086,6,3051656.444,9,0,0,-1
31077,30365,3,1695364.691,5,0,0,-1
31077,29915,4,1017218.815,3,0,0,-1
31077,29488,2,2712583.506,8,0,0,-1
31077,29204,2,678145.8766,2,0,0,-1
31077,15043,6,2.24E+07,67,0,0,-1
31077,30039,4,1356291.753,4,0,0,-1
31077,14967,7,1.15E+07,34,0,0,-1
31077,21166,7,4407948.198,13,0,0,-1
31077,29792,4,3729802.321,11,0,0,-1
31077,29945,4,3390729.383,10,0,0,-1
31077,29867,4,5086094.074,15,0,0,-1
31077,29910,4,1356291.753,4,0,0,-1
31077,14976,7,4407948.198,13,0,0,-1
31077,15147,6,6103312.889,18,0,0,-1
31077,15224,6,6103312.889,18,0,0,-1
31077,30440,3,1356291.753,4,0,0,-1
31077,29350,2,1017218.815,3,0,0,-1
31077,15057,6,4.70E+07,142,0,0,-1
31077,32741,4,3729802.321,11,0,0,-1
31077,42244,5,678145.8766,2,0,0,-1
31077,30093,4,3.90E+07,116,0,0,-1
31077,15058,6,7.20E+08,2179,2.696244858,0,-1
31077,30216,3,3051656.444,9,0,0,-1
31077,29490,2,3729802.321,11,0,0,-1
31077,42217,5,3051656.444,9,0,0,-1
31077,42022,5,5086094.074,15,0,0,-1
31077,42040,5,1017218.815,3,0,0,-1
31077,15121,6,1.96E+08,582,0,0,-1
31077,30163,4,4407948.198,13,0,0,-1
31077,29929,4,6103312.889,18,0,0,-1
31077,30496,3,339072.9383,1,0,0,-1
31077,29457,2,1.15E+07,34,0,0,-1
31077,39430,3,4747021.136,14,0,0,-1
31077,42174,5,2373510.568,7,0,0,-1
31077,17637,7,5.33E+07,161,0.018153801,0,-1
31077,15218,6,3390729.383,10,0,0,-1
31077,29758,4,1017218.815,3,0,0,-1
31077,42168,5,2034437.63,6,0,0,-1
31077,15137,6,3390729.383,10,0,0,-1
31077,30441,3,1356291.753,4,0,0,-1
31077,14880,7,2034437.63,6,0,0,-1
31077,30334,3,1356291.753,4,0,0,-1
31077,42083,5,678145.8766,2,0,0,-1
31077,15141,6,3051656.444,9,0,0,-1
31077,15126,7,9494042.272,28,0,0,-1
31077,42162,5,3051656.444,9,0,0,-1
31077,15048,7,3729802.321,11,0,0,-1
31077,30486,3,678145.8766,2,0,0,-1
31077,30458,3,8137750.519,24,0,0,-1
31077,15082,6,5086094.074,15,0,0,-1
31077,18566,6,2034437.63,6,0,0,-1
31077,15118,6,2373510.568,7,0,0,-1
31077,29454,2,2712583.506,8,0,0,-1
31077,29369,2,4.00E+07,119,0.322022133,0,-1
31077,30019,4,1.39E+07,42,0,0,-1
31077,14998,7,4747021.136,14,0,0,-1
31077,15076,7,2373510.568,7,0,0,-1
31077,17633,7,1.09E+08,332,3.212716654,0,-1
31077,45357,5,3390729.383,10,0,0,-1
31077,15290,6,1.05E+07,31,0,0,-1
